Date,"Coal Richards Bay 4800kcal NAR fob, London close, USD/t","Coal Richards Bay 5500kcal NAR fob, London close, USD/t","Coal Richards Bay 5700kcal NAR fob, London close, USD/t","Coal Richards Bay 6000kcal NAR fob current week avg, No time stamp, USD/t","Coal India 5500kcal NAR cfr, London close, USD/t",Crude Oil_Price,Brent Oil_Price,Dubai Crude_Price,Dutch TTF_Price,Natural Gas_Price
2020-09-22,34.18,45.13,53.19,56.18,55.66,39.8,41.72,41.5,11.705,2.597
2020-09-23,34.18,45.13,53.19,56.18,55.66,40.22,41.77,41.49,12.02,2.794
2020-09-24,34.18,45.13,53.19,56.18,55.66,40.58,41.94,41.56,11.635,2.899
2020-09-25,35.59,48.02,56.57,58.95,59.12,40.51,41.92,41.6,11.665,2.807
2020-09-28,35.59,48.02,56.57,58.95,59.12,40.87,42.43,41.62,12.35,2.795
2020-09-29,35.59,48.02,56.57,58.95,59.12,39.56,41.03,41.53,12.28,3.118
2020-09-30,35.59,48.02,56.57,58.95,59.12,40.47,40.95,41.49,13.285,3.117
2020-10-01,35.59,48.02,56.57,58.95,59.12,39.01,40.93,40.3,13.18,3.062
2020-10-02,35.81,49.65,58.87,61.72,58.67,37.34,39.27,38.48,13.025,2.991
2020-10-05,35.81,49.65,58.87,61.72,58.67,39.5,41.29,40.42,13.42,3.161
2020-10-06,35.81,49.65,58.87,61.72,58.67,40.93,42.65,41.56,13.305,3.096
2020-10-07,35.81,49.65,58.87,61.72,58.67,40.23,41.99,40.98,13.71,3.149
2020-10-08,35.81,49.65,58.87,61.72,58.67,41.47,43.34,41.88,13.9,3.149
2020-10-09,35.33,47.56,56.82,59.93,57.95,40.91,42.85,41.48,13.755,3.204
2020-10-12,35.33,47.56,56.82,59.93,57.95,39.73,41.72,40.78,13.84,3.271
2020-10-13,35.33,47.56,56.82,59.93,57.95,40.49,42.45,41.24,13.595,3.247
2020-10-14,35.33,47.56,56.82,59.93,57.95,41.34,43.32,41.78,13.87,3.189
2020-10-15,35.33,47.56,56.82,59.93,57.95,41.24,43.16,41.65,14.24,3.261
2020-10-16,33.86,45.32,54.61,57.01,56.36,41.12,42.93,41.48,14.5,3.271
2020-10-19,33.86,45.32,54.61,57.01,56.36,41.06,42.62,41.37,14.72,3.28
2020-10-20,33.86,45.32,54.61,57.01,56.36,41.7,43.16,41.59,14.895,3.26
2020-10-21,33.86,45.32,54.61,57.01,56.36,40.31,41.73,41.07,14.865,3.348
2020-10-22,33.86,45.32,54.61,57.01,56.36,40.94,42.46,41.31,15.255,3.272
2020-10-23,34.56,45.67,55.01,57.37,56.1,40.15,41.77,41.14,15.41,3.195
